GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
04000E1US46,46,South Dakota -- In micropolitan statistical area -- in principal city,64075,746,14987,647,25557,946,19478,819,4053,383,23353,913,9303,630,14050,702,21399,877,4810,450,6511,557,10078,729,8113,594,476,170,2289,341,3674,367,1674,239,11210,540,398,126,2707,422,5726,453,2379,292
04000E1US47,47,Tennessee -- In micropolitan statistical area -- in principal city,98869,1235,36232,1121,36622,1143,21776,927,4239,415,32315,1272,19712,898,12603,850,33645,1128,11837,671,12295,680,9513,732,15013,878,2747,399,5232,505,5476,499,1558,267,17896,707,1936,311,6492,517,6787,538,2681,354
04000E1US48,48,Texas -- In micropolitan statistical area -- in principal city,269300,2383,76696,1516,108378,2175,69536,1799,14690,940,76773,1769,41311,1269,35462,1403,84881,2053,25726,960,31573,1131,27582,1471,41307,1323,4837,542,16658,961,16245,1002,3567,446,66339,1391,4822,596,24685,1058,25709,1390,11123,818
04000E1US49,49,Utah -- In micropolitan statistical area -- in principal city,23253,537,4886,360,9160,515,7340,534,1867,290,4932,486,2145,268,2787,434,7554,544,2137,262,2427,273,2990,400,3879,394,302,141,1350,279,1603,251,624,215,6888,416,302,122,2596,329,2747,295,1243,226
04000E1US50,50,Vermont -- In micropolitan statistical area -- in principal city,14471,479,4851,466,5042,426,3966,313,612,158,5429,544,3092,391,2337,333,4792,377,1359,216,1426,275,2007,269,1945,280,213,80,583,225,866,195,283,115,2305,290,187,78,696,199,1093,193,329,114
04000E1US51,51,Virginia -- In micropolitan statistical area -- in principal city,25907,462,9838,456,9853,492,5337,421,879,183,9177,528,5602,403,3575,384,8746,520,2945,295,3299,330,2502,318,3916,368,795,205,1541,266,1304,236,276,117,4068,348,496,182,1438,231,1531,269,603,146
04000E1US53,53,Washington -- In micropolitan statistical area -- in principal city,63142,1009,19583,760,24378,788,16070,804,3111,348,20343,952,11164,660,9179,688,20009,830,6331,466,6629,584,7049,563,9839,705,1354,240,3803,479,3605,437,1077,217,12951,601,734,197,4767,363,5416,470,2034,320
04000E1US54,54,West Virginia -- In micropolitan statistical area -- in principal city,23627,624,8979,509,8337,522,5246,369,1065,217,8403,557,5132,409,3271,376,7154,499,2628,325,2353,232,2173,283,4094,340,756,195,1233,202,1656,236,449,135,3976,318,463,151,1480,260,1417,210,616,151
04000E1US55,55,Wisconsin -- In micropolitan statistical area -- in principal city,95893,905,28427,969,33999,1007,27040,951,6427,446,33977,1073,17375,812,16602,750,33052,938,9174,431,10030,617,13848,707,12259,600,887,204,3512,385,5405,393,2455,334,16605,541,991,230,3855,399,7787,501,3972,327
04000E1US56,56,Wyoming -- In micropolitan statistical area -- in principal city,54360,889,11372,592,21559,994,18555,871,2874,407,16208,832,6807,440,9401,686,18912,823,3692,352,6081,541,9139,617,7805,661,377,116,2600,425,3658,547,1170,254,11435,673,496,192,3477,405,5758,516,1704,297
