GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400043US17,17,Illinois -- Rural,1449816,4817,1388241,5220,24106,1078,2435,341,8205,832,364,103,7326,854,19139,1142,1946,321,17193,1034
0400043US18,18,Indiana -- Rural,1800169,5240,1742247,5208,12880,1031,3832,438,9771,849,498,176,9459,1068,21482,1229,2268,370,19214,1150
0400043US19,19,Iowa -- Rural,1103063,2608,1067313,3033,7487,621,3704,366,6227,541,383,180,5853,636,12096,855,1062,218,11034,773
0400043US20,20,Kansas -- Rural,740794,2799,697190,3158,7534,780,7144,550,3983,551,245,95,6856,772,17842,998,1198,278,16644,964
0400043US21,21,Kentucky -- Rural,1810901,5642,1739674,5670,28119,1112,3211,468,6410,804,531,243,9675,991,23281,1175,2496,411,20785,1071
0400043US22,22,Louisiana -- Rural,1242563,6574,970344,5766,225295,3936,10647,921,6454,680,383,159,8468,966,20972,1429,1976,569,18996,1355
0400043US23,23,Maine -- Rural,816468,3271,787304,3320,3998,525,5048,407,4856,466,137,80,1714,382,13411,876,443,143,12968,881
0400043US24,24,Maryland -- Rural,759615,4843,652019,4306,66032,2222,1812,303,14931,1012,305,127,5544,1020,18972,1546,1713,688,17259,1321
0400043US25,25,Massachusetts -- Rural,541904,4793,512154,4689,6435,840,710,163,9537,962,224,128,3218,654,9626,824,1042,289,8584,748
0400043US26,26,Michigan -- Rural,2520514,4962,2392092,4964,30055,1576,19748,851,15097,1045,463,136,14576,936,48483,1650,4838,459,43645,1442
0400043US27,27,Minnesota -- Rural,1442685,3493,1360045,3694,8850,763,29189,810,12611,1147,434,59,8572,752,22984,1107,1724,355,21260,1076
0400043US28,28,Mississippi -- Rural,1505918,5582,1022534,5032,441075,4320,9407,487,6555,938,229,111,11352,1280,14766,1317,1115,298,13651,1247
0400043US29,29,Missouri -- Rural,1781489,4862,1701220,5142,21638,1543,9904,724,7930,665,1673,303,8040,897,31084,1286,1773,324,29311,1251
0400043US30,30,Montana -- Rural,450915,2321,397789,2406,831,181,36724,879,2106,290,206,78,1877,351,11382,658,774,203,10608,650
0400043US31,31,Nebraska -- Rural,495495,1807,472152,2033,2677,414,7226,268,2114,369,242,87,4009,500,7075,470,606,175,6469,455
0400043US32,32,Nevada -- Rural,166280,2857,137422,2622,5739,730,8239,509,3621,607,602,164,6532,1000,4125,424,415,126,3710,423
0400043US33,33,New Hampshire -- Rural,529818,3191,510878,3166,3179,418,763,192,5557,524,96,63,1161,296,8184,648,591,227,7593,615
