GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Ancestry specified:,Margin of Error; Ancestry specified:,Estimate; Ancestry specified: - Single ancestry,Margin of Error; Ancestry specified: - Single ancestry,Estimate; Ancestry specified: - Multiple ancestry,Margin of Error; Ancestry specified: - Multiple ancestry,Estimate; Ancestry not specified:,Margin of Error; Ancestry not specified:,Estimate; Ancestry not specified: - Ancestry unclassified,Margin of Error; Ancestry not specified: - Ancestry unclassified,Estimate; Ancestry not specified: - Ancestry not reported,Margin of Error; Ancestry not specified: - Ancestry not reported
0400043US29,29,Missouri -- Rural,1781489,4862,1278738,8326,832728,7862,446010,5951,502751,7526,49166,2022,453585,7473
0400043US30,30,Montana -- Rural,450915,2321,371667,2387,221334,2433,150333,2450,79248,2396,8609,664,70639,2132
0400043US31,31,Nebraska -- Rural,495495,1807,398263,2269,239805,1948,158458,1990,97232,2016,8127,541,89105,1944
0400043US32,32,Nevada -- Rural,166280,2857,144087,3005,95428,2510,48659,1754,22193,1467,3166,491,19027,1397
0400043US33,33,New Hampshire -- Rural,529818,3191,450200,3562,235589,3522,214611,3684,79618,2657,10530,1053,69088,2455
0400043US34,34,New Jersey -- Rural,469709,4207,411133,4368,213251,4080,197882,3206,58576,2544,5617,610,52959,2466
0400043US35,35,New Mexico -- Rural,461987,4164,406586,4453,329965,4488,76621,2587,55401,2514,5391,759,50010,2357
0400043US36,36,New York -- Rural,2334627,6607,1913586,8000,1056091,7965,857495,6237,421041,5585,47245,1529,373796,5386
0400043US37,37,North Carolina -- Rural,3338770,9695,2584070,12086,1996303,11809,587767,7440,754700,8717,78577,3101,676123,8150
0400043US38,38,North Dakota -- Rural,298069,1624,258233,2025,151872,1931,106361,1775,39836,1460,2792,432,37044,1446
0400043US39,39,Ohio -- Rural,2540748,7193,1888411,8424,1201572,7388,686839,6295,652337,6878,65910,2675,586427,6987
0400043US40,40,Oklahoma -- Rural,1301995,4401,982135,4863,702674,5185,279461,3275,319860,3876,30518,1323,289342,3981
0400043US41,41,Oregon -- Rural,744752,5155,586899,5285,338242,3989,248657,4542,157853,3514,23689,1591,134164,3284
0400043US42,42,Pennsylvania -- Rural,2695274,7923,2143606,8844,1254757,6975,888849,6566,551668,5368,54382,1787,497286,5156
0400043US44,44,Rhode Island -- Rural,97829,1886,85724,1838,44110,1598,41614,1582,12105,1177,870,243,11235,1097
0400043US45,45,South Carolina -- Rural,1605330,7884,1248244,8509,1005102,8203,243142,3509,357086,6653,33891,1735,323195,6228
0400043US46,46,South Dakota -- Rural,365649,1650,314653,2347,200142,2112,114511,1771,50996,2020,5033,488,45963,1979
0400043US47,47,Tennessee -- Rural,2196563,6677,1555593,8901,1170747,8621,384846,4750,640970,7707,60291,2397,580679,7413
0400043US48,48,Texas -- Rural,4213180,13756,3376193,15138,2485863,13966,890330,9463,836987,10020,74135,2752,762852,9392
0400043US49,49,Utah -- Rural,291295,3287,240384,3180,154596,3096,85788,1973,50911,1967,3577,561,47334,1937
0400043US50,50,Vermont -- Rural,380765,2056,318128,2421,180017,2347,138111,2269,62637,1915,8342,670,54295,1724
0400043US51,51,Virginia -- Rural,2007588,6196,1540295,7327,1136398,7508,403897,4859,467293,6350,51338,2174,415955,5619
0400043US53,53,Washington -- Rural,1111847,6701,913524,7493,549320,6237,364204,5426,198323,4661,24032,1209,174291,4436
0400043US54,54,West Virginia -- Rural,935008,3916,609020,5552,408426,5432,200594,3984,325988,5175,21003,1294,304985,5301
0400043US55,55,Wisconsin -- Rural,1718786,3732,1468970,4921,823565,4598,645405,4689,249816,3281,24628,917,225188,3039
0400043US56,56,Wyoming -- Rural,205470,1805,155794,2342,91458,2239,64336,2109,49676,1893,3895,619,45781,1850
0400043US72,72,Puerto Rico -- Rural,203861,5228,189145,5162,187697,5164,1448,359,14716,1183,297,132,14419,1162
04000A0US01,01,Alabama -- In metropolitan or micropolitan statistical area,4405570,*****,3391600,10042,2670778,10178,720822,8358,1013970,10040,100459,3498,913511,9770
04000A0US02,02,Alaska -- In metropolitan or micropolitan statistical area,545570,*****,456143,3146,272365,4274,183778,3850,89427,3146,11455,994,77972,3074
04000A0US04,04,Arizona -- In metropolitan or micropolitan statistical area,6708499,*****,5614568,11365,3971411,16231,1643157,12940,1093931,11365,91974,3198,1001957,10862
04000A0US05,05,Arkansas -- In metropolitan or micropolitan statistical area,2437859,*****,1821910,7265,1347171,7510,474739,7208,615949,7265,56740,2712,559209,7482
04000A0US06,06,California -- In metropolitan or micropolitan statistical area,38712763,*****,34101594,56220,25797054,88176,8304540,39477,4611169,56220,331175,6831,4279994,52202
04000A0US08,08,Colorado -- In metropolitan or micropolitan statistical area,5131473,*****,4257168,8893,2601030,11751,1656138,8931,874305,8893,94061,3089,780244,9781
04000A0US09,09,Connecticut -- In metropolitan or micropolitan statistical area,3594478,*****,3163088,6553,1939474,11260,1223614,9716,431390,6553,32256,1589,399134,6448
04000A0US10,10,Delaware -- In metropolitan or micropolitan statistical area,943732,*****,795817,4379,547821,5150,247996,4239,147915,4379,14697,1152,133218,4276
04000A0US11,11,District of Columbia -- In metropolitan or micropolitan statistical area,672391,*****,550281,3333,414932,3872,135349,2788,122110,3333,36426,2587,85684,3315
04000A0US12,12,Florida -- In metropolitan or micropolitan statistical area,19932529,*****,16839835,28306,12430784,47981,4409051,30637,3092694,28306,285116,6656,2807578,25048
04000A0US13,13,Georgia -- In metropolitan or micropolitan statistical area,9415504,154,7795366,21732,6218431,28572,1576935,14485,1620138,21725,195734,4509,1424404,20378
04000A0US15,15,Hawaii -- In metropolitan or micropolitan statistical area,1421658,*****,1276123,4038,803721,6577,472402,5907,145535,4038,10387,994,135148,3849
04000A0US16,16,Idaho -- In metropolitan or micropolitan statistical area,1519018,114,1229036,5750,789742,7596,439294,6847,289982,5753,35400,2420,254582,5705
04000A0US17,17,Illinois -- In metropolitan or micropolitan statistical area,12247097,*****,10538537,18537,7275852,26845,3262685,16725,1708560,18532,154874,3928,1553686,16832
04000A0US18,18,Indiana -- In metropolitan or micropolitan statistical area,6154736,*****,4692399,11572,3192479,12308,1499920,12021,1462337,11572,153422,4760,1308915,11334
04000A0US19,19,Iowa -- In metropolitan or micropolitan statistical area,2387712,*****,1864797,6007,1147488,7245,717309,6789,522915,6007,51981,2053,470934,6003
04000A0US20,20,Kansas -- In metropolitan or micropolitan statistical area,2512193,*****,2033333,6638,1318838,7387,714495,6966,478860,6638,57708,2466,421152,6476
04000A0US21,21,Kentucky -- In metropolitan or micropolitan statistical area,3470007,*****,2564068,8680,1830404,9403,733664,7053,905939,8680,96557,3266,809382,8773
04000A0US22,22,Louisiana -- In metropolitan or micropolitan statistical area,4335555,*****,3628234,12351,2801275,15614,826959,9271,707321,12351,67687,2778,639634,11576
04000A0US23,23,Maine -- In metropolitan or micropolitan statistical area,906666,*****,761588,3393,425424,3927,336164,4199,145078,3393,20378,1370,124700,3311
